financial_year,type,status,no_of_units
2007,"Shops, Lock-Up Shops and Eating Houses",Completed,35
2007,"Shops, Lock-Up Shops and Eating Houses",Under Construction,49
2007,"Shops, Lock-Up Shops and Eating Houses",Awarded,32
2007,Mini-markets,Completed,0
2007,Mini-markets,Under Construction,0
2007,Mini-markets,Awarded,0
2007,Markets and Hawker Centres,Completed,0
2007,Markets and Hawker Centres,Under Construction,1
2007,Markets and Hawker Centres,Awarded,1
2007,Kiosks and Shoplets,Completed,0
2007,Kiosks and Shoplets,Under Construction,0
2007,Kiosks and Shoplets,Awarded,0
2007,Food Courts,Completed,0
2007,Food Courts,Under Construction,1
2007,Food Courts,Awarded,0
2007,Restaurants and Fast Food Restaurants,Completed,0
2007,Restaurants and Fast Food Restaurants,Under Construction,0
2007,Restaurants and Fast Food Restaurants,Awarded,0
2007,Emporiums and Supermarkets,Completed,1
2007,Emporiums and Supermarkets,Under Construction,4
2007,Emporiums and Supermarkets,Awarded,0
2007,Offices,Completed,0
2007,Offices,Under Construction,0
2007,Offices,Awarded,0
2007,Commercial Spaces,Completed,0
2007,Commercial Spaces,Under Construction,2
2007,Commercial Spaces,Awarded,0
2008,"Shops, Lock-Up Shops and Eating Houses",Completed,19
2008,"Shops, Lock-Up Shops and Eating Houses",Under Construction,47
2008,"Shops, Lock-Up Shops and Eating Houses",Awarded,18
2008,Mini-markets,Completed,0
2008,Mini-markets,Under Construction,0
2008,Mini-markets,Awarded,0
2008,Markets and Hawker Centres,Completed,0
2008,Markets and Hawker Centres,Under Construction,1
2008,Markets and Hawker Centres,Awarded,0
2008,Kiosks and Shoplets,Completed,0
2008,Kiosks and Shoplets,Under Construction,0
2008,Kiosks and Shoplets,Awarded,0
2008,Food Courts,Completed,0
2008,Food Courts,Under Construction,1
2008,Food Courts,Awarded,0
2008,Restaurants and Fast Food Restaurants,Completed,0
2008,Restaurants and Fast Food Restaurants,Under Construction,0
2008,Restaurants and Fast Food Restaurants,Awarded,0
2008,Emporiums and Supermarkets,Completed,3
2008,Emporiums and Supermarkets,Under Construction,3
2008,Emporiums and Supermarkets,Awarded,2
2008,Offices,Completed,0
2008,Offices,Under Construction,0
2008,Offices,Awarded,0
2008,Commercial Spaces,Completed,0
2008,Commercial Spaces,Under Construction,2
2008,Commercial Spaces,Awarded,0
2009,"Shops, Lock-Up Shops and Eating Houses",Completed,6
2009,"Shops, Lock-Up Shops and Eating Houses",Under Construction,62
2009,"Shops, Lock-Up Shops and Eating Houses",Awarded,20
2009,Mini-markets,Completed,0
2009,Mini-markets,Under Construction,0
2009,Mini-markets,Awarded,3
2009,Markets and Hawker Centres,Completed,0
2009,Markets and Hawker Centres,Under Construction,1
2009,Markets and Hawker Centres,Awarded,0
2009,Kiosks and Shoplets,Completed,0
2009,Kiosks and Shoplets,Under Construction,0
2009,Kiosks and Shoplets,Awarded,0
2009,Food Courts,Completed,0
2009,Food Courts,Under Construction,1
2009,Food Courts,Awarded,0
2009,Restaurants and Fast Food Restaurants,Completed,0
2009,Restaurants and Fast Food Restaurants,Under Construction,0
2009,Restaurants and Fast Food Restaurants,Awarded,0
2009,Emporiums and Supermarkets,Completed,0
2009,Emporiums and Supermarkets,Under Construction,5
2009,Emporiums and Supermarkets,Awarded,2
2009,Offices,Completed,0
2009,Offices,Under Construction,0
2009,Offices,Awarded,0
2009,Commercial Spaces,Completed,0
2009,Commercial Spaces,Under Construction,1
2009,Commercial Spaces,Awarded,0
2010,"Shops, Lock-Up Shops and Eating Houses",Completed,9
2010,"Shops, Lock-Up Shops and Eating Houses",Under Construction,111
2010,"Shops, Lock-Up Shops and Eating Houses",Awarded,53
2010,Mini-markets,Completed,0
2010,Mini-markets,Under Construction,10
2010,Mini-markets,Awarded,9
2010,Markets and Hawker Centres,Completed,0
2010,Markets and Hawker Centres,Under Construction,0
2010,Markets and Hawker Centres,Awarded,0
2010,Kiosks and Shoplets,Completed,0
2010,Kiosks and Shoplets,Under Construction,0
2010,Kiosks and Shoplets,Awarded,0
2010,Food Courts,Completed,1
2010,Food Courts,Under Construction,0
2010,Food Courts,Awarded,0
2010,Restaurants and Fast Food Restaurants,Completed,0
2010,Restaurants and Fast Food Restaurants,Under Construction,0
2010,Restaurants and Fast Food Restaurants,Awarded,0
2010,Emporiums and Supermarkets,Completed,0
2010,Emporiums and Supermarkets,Under Construction,8
2010,Emporiums and Supermarkets,Awarded,2
2010,Offices,Completed,0
2010,Offices,Under Construction,0
2010,Offices,Awarded,0
2010,Commercial Spaces,Completed,1
2010,Commercial Spaces,Under Construction,0
2010,Commercial Spaces,Awarded,0
2011,"Shops, Lock-Up Shops and Eating Houses",Completed,9
2011,"Shops, Lock-Up Shops and Eating Houses",Under Construction,111
2011,"Shops, Lock-Up Shops and Eating Houses",Awarded,75
2011,Mini-markets,Completed,0
2011,Mini-markets,Under Construction,10
2011,Mini-markets,Awarded,7
2011,Markets and Hawker Centres,Completed,0
2011,Markets and Hawker Centres,Under Construction,0
2011,Markets and Hawker Centres,Awarded,0
2011,Kiosks and Shoplets,Completed,0
2011,Kiosks and Shoplets,Under Construction,0
2011,Kiosks and Shoplets,Awarded,0
2011,Food Courts,Completed,1
2011,Food Courts,Under Construction,0
2011,Food Courts,Awarded,0
2011,Restaurants and Fast Food Restaurants,Completed,0
2011,Restaurants and Fast Food Restaurants,Under Construction,0
2011,Restaurants and Fast Food Restaurants,Awarded,1
2011,Emporiums and Supermarkets,Completed,0
2011,Emporiums and Supermarkets,Under Construction,8
2011,Emporiums and Supermarkets,Awarded,9
2011,Offices,Completed,0
2011,Offices,Under Construction,0
2011,Offices,Awarded,0
2011,Commercial Spaces,Completed,1
2011,Commercial Spaces,Under Construction,0
2011,Commercial Spaces,Awarded,0
2012,"Shops, Lock-Up Shops and Eating Houses",Completed,14
2012,"Shops, Lock-Up Shops and Eating Houses",Under Construction,140
