financial_year,town_or_estate,hdb_or_dbss,status,no_of_units
2008,Ang Mo Kio,HDB,Under Construction,1221
2008,Ang Mo Kio,HDB,Completed,0
2008,Bedok,HDB,Under Construction,0
2008,Bedok,HDB,Completed,572
2008,Bishan,HDB,Under Construction,176
2008,Bishan,HDB,Completed,0
2008,Bukit Batok,HDB,Under Construction,0
2008,Bukit Batok,HDB,Completed,0
2008,Bukit Merah,HDB,Under Construction,2718
2008,Bukit Merah,HDB,Completed,0
2008,Bukit Panjang,HDB,Under Construction,412
2008,Bukit Panjang,HDB,Completed,0
2008,Bukit Timah,HDB,Under Construction,0
2008,Bukit Timah,HDB,Completed,0
2008,Central Area,HDB,Under Construction,1848
2008,Central Area,HDB,Completed,0
2008,Choa Chu Kang,HDB,Under Construction,468
2008,Choa Chu Kang,HDB,Completed,0
2008,Clementi,HDB,Under Construction,2622
2008,Clementi,HDB,Completed,0
2008,Geylang,HDB,Under Construction,447
2008,Geylang,HDB,Completed,0
2008,Hougang,HDB,Under Construction,670
2008,Hougang,HDB,Completed,0
2008,Jurong East,HDB,Under Construction,1152
2008,Jurong East,HDB,Completed,0
2008,Jurong West,HDB,Under Construction,633
2008,Jurong West,HDB,Completed,348
2008,Kallang/Whampoa,HDB,Under Construction,1056
2008,Kallang/Whampoa,HDB,Completed,0
2008,Marine Parade,HDB,Under Construction,0
2008,Marine Parade,HDB,Completed,0
2008,Pasir Ris,HDB,Under Construction,0
2008,Pasir Ris,HDB,Completed,0
2008,Punggol,HDB,Under Construction,5780
2008,Punggol,HDB,Completed,369
2008,Queenstown,HDB,Under Construction,3959
2008,Queenstown,HDB,Completed,0
2008,Sembawang,HDB,Under Construction,757
2008,Sembawang,HDB,Completed,0
2008,Sengkang,HDB,Under Construction,4567
2008,Sengkang,HDB,Completed,480
2008,Serangoon,HDB,Under Construction,0
2008,Serangoon,HDB,Completed,0
2008,Tampines,HDB,Under Construction,378
2008,Tampines,HDB,Completed,0
2008,Toa Payoh,HDB,Under Construction,0
2008,Toa Payoh,HDB,Completed,0
2008,Woodlands,HDB,Under Construction,882
2008,Woodlands,HDB,Completed,0
2008,Yishun,HDB,Under Construction,1312
2008,Yishun,HDB,Completed,0
2009,Ang Mo Kio,HDB,Under Construction,1221
2009,Ang Mo Kio,HDB,Completed,0
2009,Bedok,HDB,Under Construction,0
2009,Bedok,HDB,Completed,0
2009,Bishan,HDB,Under Construction,176
2009,Bishan,HDB,Completed,0
2009,Bukit Batok,HDB,Under Construction,360
2009,Bukit Batok,HDB,Completed,0
2009,Bukit Merah,HDB,Under Construction,2718
2009,Bukit Merah,HDB,Completed,0
2009,Bukit Panjang,HDB,Under Construction,1183
2009,Bukit Panjang,HDB,Completed,0
2009,Bukit Timah,HDB,Under Construction,0
2009,Bukit Timah,HDB,Completed,0
2009,Central Area,HDB,Under Construction,0
2009,Central Area,HDB,Completed,1848
2009,Choa Chu Kang,HDB,Under Construction,582
2009,Choa Chu Kang,HDB,Completed,338
2009,Clementi,HDB,Under Construction,2622
2009,Clementi,HDB,Completed,0
2009,Geylang,HDB,Under Construction,354
2009,Geylang,HDB,Completed,93
2009,Hougang,HDB,Under Construction,670
2009,Hougang,HDB,Completed,0
2009,Jurong East,HDB,Under Construction,1152
2009,Jurong East,HDB,Completed,0
2009,Jurong West,HDB,Under Construction,633
2009,Jurong West,HDB,Completed,0
2009,Kallang/Whampoa,HDB,Under Construction,1056
2009,Kallang/Whampoa,HDB,Completed,0
2009,Marine Parade,HDB,Under Construction,0
2009,Marine Parade,HDB,Completed,0
2009,Pasir Ris,HDB,Under Construction,220
2009,Pasir Ris,HDB,Completed,0
2009,Punggol,HDB,Under Construction,9401
2009,Punggol,HDB,Completed,877
2009,Queenstown,HDB,Under Construction,3996
2009,Queenstown,HDB,Completed,737
2009,Sembawang,HDB,Under Construction,0
2009,Sembawang,HDB,Completed,757
2009,Sengkang,HDB,Under Construction,5139
2009,Sengkang,HDB,Completed,1278
2009,Serangoon,HDB,Under Construction,247
2009,Serangoon,HDB,Completed,0
2009,Tampines,HDB,Under Construction,492
2009,Tampines,HDB,Completed,270
2009,Toa Payoh,HDB,Under Construction,0
2009,Toa Payoh,HDB,Completed,0
2009,Woodlands,HDB,Under Construction,1197
2009,Woodlands,HDB,Completed,500
2009,Yishun,HDB,Under Construction,2216
2009,Yishun,HDB,Completed,352
2010,Ang Mo Kio,HDB,Under Construction,332
2010,Ang Mo Kio,HDB,Completed,889
2010,Bedok,HDB,Under Construction,0
2010,Bedok,HDB,Completed,0
2010,Bishan,HDB,Under Construction,0
2010,Bishan,HDB,Completed,176
2010,Bukit Batok,HDB,Under Construction,360
2010,Bukit Batok,HDB,Completed,0
2010,Bukit Merah,HDB,Under Construction,3418
2010,Bukit Merah,HDB,Completed,0
2010,Bukit Panjang,HDB,Under Construction,1996
2010,Bukit Panjang,HDB,Completed,456
2010,Bukit Timah,HDB,Under Construction,0
2010,Bukit Timah,HDB,Completed,0
2010,Central Area,HDB,Under Construction,0
2010,Central Area,HDB,Completed,0
2010,Choa Chu Kang,HDB,Under Construction,1616
2010,Choa Chu Kang,HDB,Completed,130
2010,Clementi,HDB,Under Construction,2490
2010,Clementi,HDB,Completed,132
2010,Geylang,HDB,Under Construction,0
2010,Geylang,HDB,Completed,354
2010,Hougang,HDB,Under Construction,1448
2010,Hougang,HDB,Completed,670
2010,Jurong East,HDB,Under Construction,2019
2010,Jurong East,HDB,Completed,0
2010,Jurong West,HDB,Under Construction,1620
2010,Jurong West,HDB,Completed,633
2010,Kallang/Whampoa,HDB,Under Construction,0
2010,Kallang/Whampoa,HDB,Completed,1056
2010,Marine Parade,HDB,Under Construction,0
2010,Marine Parade,HDB,Completed,0
2010,Pasir Ris,HDB,Under Construction,220
2010,Pasir Ris,HDB,Completed,0
2010,Punggol,HDB,Under Construction,11192
2010,Punggol,HDB,Completed,2538
2010,Queenstown,HDB,Under Construction,3886
2010,Queenstown,HDB,Completed,1828
2010,Sembawang,HDB,Under Construction,856
2010,Sembawang,HDB,Completed,0
2010,Sengkang,HDB,Under Construction,5606
2010,Sengkang,HDB,Completed,2174
2010,Serangoon,HDB,Under Construction,247
2010,Serangoon,HDB,Completed,0
2010,Tampines,HDB,Under Construction,839
2010,Tampines,HDB,Completed,108
2010,Toa Payoh,HDB,Under Construction,0
2010,Toa Payoh,HDB,Completed,0
2010,Woodlands,HDB,Under Construction,2813
2010,Woodlands,HDB,Completed,0
2010,Yishun,HDB,Under Construction,2072
2010,Yishun,HDB,Completed,744
2011,Ang Mo Kio,HDB,Under Construction,256
2011,Ang Mo Kio,HDB,Completed,332
2011,Ang Mo Kio,DBSS,Under Construction,0
2011,Ang Mo Kio,DBSS,Completed,578
2011,Bedok,HDB,Under Construction,0
2011,Bedok,HDB,Completed,0
2011,Bedok,DBSS,Under Construction,488
2011,Bedok,DBSS,Completed,0
2011,Bishan,HDB,Under Construction,0
2011,Bishan,HDB,Completed,0
2011,Bishan,DBSS,Under Construction,0
2011,Bishan,DBSS,Completed,480
2011,Bukit Batok,HDB,Under Construction,180
2011,Bukit Batok,HDB,Completed,360
2011,Bukit Batok,DBSS,Under Construction,0
2011,Bukit Batok,DBSS,Completed,0
2011,Bukit Merah,HDB,Under Construction,700
2011,Bukit Merah,HDB,Completed,2718
2011,Bukit Merah,DBSS,Under Construction,0
2011,Bukit Merah,DBSS,Completed,0
2011,Bukit Panjang,HDB,Under Construction,4019
2011,Bukit Panjang,HDB,Completed,490
2011,Bukit Panjang,DBSS,Under Construction,0
2011,Bukit Panjang,DBSS,Completed,0
2011,Bukit Timah,HDB,Under Construction,0
2011,Bukit Timah,HDB,Completed,0
2011,Bukit Timah,DBSS,Under Construction,0
2011,Bukit Timah,DBSS,Completed,0
2011,Central Area,HDB,Under Construction,0
2011,Central Area,HDB,Completed,0
2011,Central Area,DBSS,Under Construction,0
2011,Central Area,DBSS,Completed,0
2011,Choa Chu Kang,HDB,Under Construction,1164
2011,Choa Chu Kang,HDB,Completed,452
2011,Choa Chu Kang,DBSS,Under Construction,0
2011,Choa Chu Kang,DBSS,Completed,0
2011,Clementi,HDB,Under Construction,444
2011,Clementi,HDB,Completed,2046
2011,Clementi,DBSS,Under Construction,888
2011,Clementi,DBSS,Completed,0
2011,Geylang,HDB,Under Construction,0
2011,Geylang,HDB,Completed,0
2011,Geylang,DBSS,Under Construction,0
2011,Geylang,DBSS,Completed,0
2011,Hougang,HDB,Under Construction,3021
2011,Hougang,HDB,Completed,0
2011,Hougang,DBSS,Under Construction,680
2011,Hougang,DBSS,Completed,0
2011,Jurong East,HDB,Under Construction,1229
2011,Jurong East,HDB,Completed,1308
2011,Jurong East,DBSS,Under Construction,0
2011,Jurong East,DBSS,Completed,0
2011,Jurong West,HDB,Under Construction,2533
2011,Jurong West,HDB,Completed,0
2011,Jurong West,DBSS,Under Construction,682
2011,Jurong West,DBSS,Completed,0
2011,Kallang/Whampoa,HDB,Under Construction,0
2011,Kallang/Whampoa,HDB,Completed,0
2011,Kallang/Whampoa,DBSS,Under Construction,0
2011,Kallang/Whampoa,DBSS,Completed,0
2011,Marine Parade,HDB,Under Construction,0
2011,Marine Parade,HDB,Completed,0
2011,Marine Parade,DBSS,Under Construction,0
2011,Marine Parade,DBSS,Completed,0
2011,Pasir Ris,HDB,Under Construction,1571
2011,Pasir Ris,HDB,Completed,220
2011,Pasir Ris,DBSS,Under Construction,447
2011,Pasir Ris,DBSS,Completed,0
2011,Punggol,HDB,Under Construction,13862
2011,Punggol,HDB,Completed,4341
2011,Punggol,DBSS,Under Construction,0
2011,Punggol,DBSS,Completed,0
2011,Queenstown,HDB,Under Construction,2492
2011,Queenstown,HDB,Completed,1394
2011,Queenstown,DBSS,Under Construction,0
2011,Queenstown,DBSS,Completed,0
2011,Sembawang,HDB,Under Construction,1434
2011,Sembawang,HDB,Completed,0
2011,Sembawang,DBSS,Under Construction,0
2011,Sembawang,DBSS,Completed,0
2011,Sengkang,HDB,Under Construction,12898
2011,Sengkang,HDB,Completed,1827
2011,Sengkang,DBSS,Under Construction,0
2011,Sengkang,DBSS,Completed,0
2011,Serangoon,HDB,Under Construction,0
2011,Serangoon,HDB,Completed,247
2011,Serangoon,DBSS,Under Construction,0
2011,Serangoon,DBSS,Completed,0
2011,Tampines,HDB,Under Construction,2670
2011,Tampines,HDB,Completed,384
2011,Tampines,DBSS,Under Construction,708
2011,Tampines,DBSS,Completed,0
2011,Toa Payoh,HDB,Under Construction,0
2011,Toa Payoh,HDB,Completed,0
2011,Toa Payoh,DBSS,Under Construction,1203
2011,Toa Payoh,DBSS,Completed,0
2011,Woodlands,HDB,Under Construction,3864
2011,Woodlands,HDB,Completed,500
2011,Woodlands,DBSS,Under Construction,0
2011,Woodlands,DBSS,Completed,0
2011,Yishun,HDB,Under Construction,6394
2011,Yishun,HDB,Completed,1328
2011,Yishun,DBSS,Under Construction,806
2011,Yishun,DBSS,Completed,0
2012,Ang Mo Kio,HDB,Under Construction,1544
2012,Ang Mo Kio,HDB,Completed,0
2012,Ang Mo Kio,DBSS,Under Construction,0
2012,Ang Mo Kio,DBSS,Completed,0
2012,Bedok,HDB,Under Construction,2039
2012,Bedok,HDB,Completed,0
2012,Bedok,DBSS,Under Construction,488
2012,Bedok,DBSS,Completed,0
2012,Bishan,HDB,Under Construction,0
2012,Bishan,HDB,Completed,0
2012,Bishan,DBSS,Under Construction,0
2012,Bishan,DBSS,Completed,0
2012,Bukit Batok,HDB,Under Construction,1636
2012,Bukit Batok,HDB,Completed,0
2012,Bukit Batok,DBSS,Under Construction,0
2012,Bukit Batok,DBSS,Completed,0
2012,Bukit Merah,HDB,Under Construction,1610
2012,Bukit Merah,HDB,Completed,0
2012,Bukit Merah,DBSS,Under Construction,0
2012,Bukit Merah,DBSS,Completed,0
2012,Bukit Panjang,HDB,Under Construction,4644
2012,Bukit Panjang,HDB,Completed,237
2012,Bukit Panjang,DBSS,Under Construction,0
2012,Bukit Panjang,DBSS,Completed,0
2012,Bukit Timah,HDB,Under Construction,132
2012,Bukit Timah,HDB,Completed,0
2012,Bukit Timah,DBSS,Under Construction,0
2012,Bukit Timah,DBSS,Completed,0
2012,Central Area,HDB,Under Construction,0
2012,Central Area,HDB,Completed,0
2012,Central Area,DBSS,Under Construction,0
2012,Central Area,DBSS,Completed,0
2012,Choa Chu Kang,HDB,Under Construction,6358
2012,Choa Chu Kang,HDB,Completed,290
2012,Choa Chu Kang,DBSS,Under Construction,0
2012,Choa Chu Kang,DBSS,Completed,0
2012,Clementi,HDB,Under Construction,962
2012,Clementi,HDB,Completed,444
2012,Clementi,DBSS,Under Construction,888
2012,Clementi,DBSS,Completed,0
2012,Geylang,HDB,Under Construction,975
2012,Geylang,HDB,Completed,0
2012,Geylang,DBSS,Under Construction,0
2012,Geylang,DBSS,Completed,0
2012,Hougang,HDB,Under Construction,2104
2012,Hougang,HDB,Completed,1296
2012,Hougang,DBSS,Under Construction,680
2012,Hougang,DBSS,Completed,0
2012,Jurong East,HDB,Under Construction,518
2012,Jurong East,HDB,Completed,711
2012,Jurong East,DBSS,Under Construction,0
2012,Jurong East,DBSS,Completed,0
2012,Jurong West,HDB,Under Construction,1828
2012,Jurong West,HDB,Completed,705
2012,Jurong West,DBSS,Under Construction,682
2012,Jurong West,DBSS,Completed,0
2012,Kallang/Whampoa,HDB,Under Construction,3048
2012,Kallang/Whampoa,HDB,Completed,0
2012,Kallang/Whampoa,DBSS,Under Construction,0
2012,Kallang/Whampoa,DBSS,Completed,0
2012,Marine Parade,HDB,Under Construction,0
2012,Marine Parade,HDB,Completed,0
2012,Marine Parade,DBSS,Under Construction,0
2012,Marine Parade,DBSS,Completed,0
2012,Pasir Ris,HDB,Under Construction,1571
2012,Pasir Ris,HDB,Completed,0
2012,Pasir Ris,DBSS,Under Construction,447
2012,Pasir Ris,DBSS,Completed,0
2012,Punggol,HDB,Under Construction,13588
2012,Punggol,HDB,Completed,3780
2012,Punggol,DBSS,Under Construction,0
2012,Punggol,DBSS,Completed,0
2012,Queenstown,HDB,Under Construction,2275
2012,Queenstown,HDB,Completed,217
2012,Queenstown,DBSS,Under Construction,0
2012,Queenstown,DBSS,Completed,0
2012,Sembawang,HDB,Under Construction,1890
2012,Sembawang,HDB,Completed,0
2012,Sembawang,DBSS,Under Construction,0
2012,Sembawang,DBSS,Completed,0
2012,Sengkang,HDB,Under Construction,13297
2012,Sengkang,HDB,Completed,2231
2012,Sengkang,DBSS,Under Construction,0
2012,Sengkang,DBSS,Completed,0
2012,Serangoon,HDB,Under Construction,0
2012,Serangoon,HDB,Completed,0
2012,Serangoon,DBSS,Under Construction,0
2012,Serangoon,DBSS,Completed,0
2012,Tampines,HDB,Under Construction,2595
2012,Tampines,HDB,Completed,455
2012,Tampines,DBSS,Under Construction,708
2012,Tampines,DBSS,Completed,0
2012,Toa Payoh,HDB,Under Construction,436
2012,Toa Payoh,HDB,Completed,0
2012,Toa Payoh,DBSS,Under Construction,0
2012,Toa Payoh,DBSS,Completed,1203
2012,Woodlands,HDB,Under Construction,2961
2012,Woodlands,HDB,Completed,1031
2012,Woodlands,DBSS,Under Construction,0
2012,Woodlands,DBSS,Completed,0
2012,Yishun,HDB,Under Construction,6726
2012,Yishun,HDB,Completed,144
2012,Yishun,DBSS,Under Construction,806
2012,Yishun,DBSS,Completed,0
2013,Ang Mo Kio,HDB,Under Construction,1827
2013,Ang Mo Kio,HDB,Completed,0
2013,Ang Mo Kio,DBSS,Under Construction,0
2013,Ang Mo Kio,DBSS,Completed,0
2013,Bedok,HDB,Under Construction,2585
2013,Bedok,HDB,Completed,0
2013,Bedok,DBSS,Under Construction,488
2013,Bedok,DBSS,Completed,0
2013,Bishan,HDB,Under Construction,408
2013,Bishan,HDB,Completed,0
2013,Bishan,DBSS,Under Construction,0
2013,Bishan,DBSS,Completed,0
2013,Bukit Batok,HDB,Under Construction,2886
2013,Bukit Batok,HDB,Completed,180
2013,Bukit Batok,DBSS,Under Construction,0
2013,Bukit Batok,DBSS,Completed,0
2013,Bukit Merah,HDB,Under Construction,4322
2013,Bukit Merah,HDB,Completed,0
2013,Bukit Merah,DBSS,Under Construction,0
2013,Bukit Merah,DBSS,Completed,0
2013,Bukit Panjang,HDB,Under Construction,3828
2013,Bukit Panjang,HDB,Completed,816
2013,Bukit Panjang,DBSS,Under Construction,0
2013,Bukit Panjang,DBSS,Completed,0
2013,Bukit Timah,HDB,Under Construction,132
2013,Bukit Timah,HDB,Completed,0
2013,Bukit Timah,DBSS,Under Construction,0
2013,Bukit Timah,DBSS,Completed,0
2013,Central Area,HDB,Under Construction,0
2013,Central Area,HDB,Completed,0
2013,Central Area,DBSS,Under Construction,0
2013,Central Area,DBSS,Completed,0
2013,Choa Chu Kang,HDB,Under Construction,7644
2013,Choa Chu Kang,HDB,Completed,874
2013,Choa Chu Kang,DBSS,Under Construction,0
2013,Choa Chu Kang,DBSS,Completed,0
2013,Clementi,HDB,Under Construction,1464
2013,Clementi,HDB,Completed,0
2013,Clementi,DBSS,Under Construction,888
2013,Clementi,DBSS,Completed,0
2013,Geylang,HDB,Under Construction,1568
2013,Geylang,HDB,Completed,0
2013,Geylang,DBSS,Under Construction,0
2013,Geylang,DBSS,Completed,0
2013,Hougang,HDB,Under Construction,3556
2013,Hougang,HDB,Completed,464
2013,Hougang,DBSS,Under Construction,680
2013,Hougang,DBSS,Completed,0
2013,Jurong East,HDB,Under Construction,518
2013,Jurong East,HDB,Completed,0
2013,Jurong East,DBSS,Under Construction,0
2013,Jurong East,DBSS,Completed,0
2013,Jurong West,HDB,Under Construction,2738
2013,Jurong West,HDB,Completed,1078
2013,Jurong West,DBSS,Under Construction,682
2013,Jurong West,DBSS,Completed,0
2013,Kallang/Whampoa,HDB,Under Construction,3453
2013,Kallang/Whampoa,HDB,Completed,0
2013,Kallang/Whampoa,DBSS,Under Construction,0
2013,Kallang/Whampoa,DBSS,Completed,0
2013,Marine Parade,HDB,Under Construction,0
2013,Marine Parade,HDB,Completed,0
2013,Marine Parade,DBSS,Under Construction,0
2013,Marine Parade,DBSS,Completed,0
2013,Pasir Ris,HDB,Under Construction,1386
2013,Pasir Ris,HDB,Completed,185
2013,Pasir Ris,DBSS,Under Construction,447
2013,Pasir Ris,DBSS,Completed,0
2013,Punggol,HDB,Under Construction,14135
2013,Punggol,HDB,Completed,2238
2013,Punggol,DBSS,Under Construction,0
2013,Punggol,DBSS,Completed,0
2013,Queenstown,HDB,Under Construction,2897
2013,Queenstown,HDB,Completed,557
2013,Queenstown,DBSS,Under Construction,0
2013,Queenstown,DBSS,Completed,0
2013,Sembawang,HDB,Under Construction,3076
2013,Sembawang,HDB,Completed,1434
2013,Sembawang,DBSS,Under Construction,0
2013,Sembawang,DBSS,Completed,0
2013,Sengkang,HDB,Under Construction,12644
2013,Sengkang,HDB,Completed,3378
2013,Sengkang,DBSS,Under Construction,0
2013,Sengkang,DBSS,Completed,0
2013,Serangoon,HDB,Under Construction,195
2013,Serangoon,HDB,Completed,0
2013,Serangoon,DBSS,Under Construction,0
2013,Serangoon,DBSS,Completed,0
2013,Tampines,HDB,Under Construction,2680
2013,Tampines,HDB,Completed,849
2013,Tampines,DBSS,Under Construction,708
2013,Tampines,DBSS,Completed,0
2013,Toa Payoh,HDB,Under Construction,1443
2013,Toa Payoh,HDB,Completed,0
2013,Toa Payoh,DBSS,Under Construction,0
2013,Toa Payoh,DBSS,Completed,0
2013,Woodlands,HDB,Under Construction,3317
2013,Woodlands,HDB,Completed,1924
2013,Woodlands,DBSS,Under Construction,0
2013,Woodlands,DBSS,Completed,0
2013,Yishun,HDB,Under Construction,7596
2013,Yishun,HDB,Completed,2904
2013,Yishun,DBSS,Under Construction,0
2013,Yishun,DBSS,Completed,806
2014,Ang Mo Kio,HDB,Under Construction,1571
2014,Ang Mo Kio,HDB,Completed,256
2014,Ang Mo Kio,DBSS,Under Construction,0
2014,Ang Mo Kio,DBSS,Completed,0
2014,Bedok,HDB,Under Construction,2162
2014,Bedok,HDB,Completed,423
2014,Bedok,DBSS,Under Construction,0
2014,Bedok,DBSS,Completed,488
2014,Bishan,HDB,Under Construction,408
2014,Bishan,HDB,Completed,0
2014,Bishan,DBSS,Under Construction,0
2014,Bishan,DBSS,Completed,0
2014,Bukit Batok,HDB,Under Construction,8340
2014,Bukit Batok,HDB,Completed,700
2014,Bukit Batok,DBSS,Under Construction,0
2014,Bukit Batok,DBSS,Completed,0
2014,Bukit Merah,HDB,Under Construction,3622
2014,Bukit Merah,HDB,Completed,2966
2014,Bukit Merah,DBSS,Under Construction,0
2014,Bukit Merah,DBSS,Completed,0
2014,Bukit Panjang,HDB,Under Construction,862
2014,Bukit Panjang,HDB,Completed,1136
