Month,CPI
jan2000,73.942
feb2000,74.294
mar2000,74.039
apr2000,74.146
may2000,73.878
jun2000,73.999
jul2000,74.378
aug2000,74.769
sep2000,74.787
oct2000,74.844
nov2000,75.009
dec2000,75.135
jan2001,75.413
feb2001,75.27
mar2001,75.404
apr2001,75.611
may2001,75.307
jun2001,74.894
jul2001,75.343
aug2001,75.299
sep2001,75.195
oct2001,75.005
nov2001,74.847
dec2001,74.693
jan2002,74.584
feb2002,74.804
mar2002,74.734
apr2002,74.814
may2002,75.047
jun2002,75
jul2002,75.023
aug2002,74.97
sep2002,74.877
oct2002,74.855
nov2002,75.022
dec2002,75.019
jan2003,75.235
feb2003,75.097
mar2003,75.307
apr2003,75.46
may2003,74.981
jun2003,74.757
jul2003,75.224
aug2003,75.312
sep2003,75.392
oct2003,75.34
nov2003,75.443
dec2003,75.578
jan2004,75.741
feb2004,76.613
mar2004,76.051
apr2004,76.564
may2004,76.747
jun2004,76.147
jul2004,76.758
aug2004,76.659
sep2004,76.816
oct2004,76.788
nov2004,76.767
dec2004,76.569
jan2005,76.038
feb2005,76.597
mar2005,76.373
apr2005,76.843
may2005,76.72
jun2005,76.02
jul2005,76.817
aug2005,77.18
sep2005,77.289
oct2005,77.604
nov2005,77.509
dec2005,77.534
jan2006,77.355
feb2006,77.509
mar2006,77.252
apr2006,77.673
may2006,77.556
jun2006,77.069
jul2006,77.651
aug2006,77.694
sep2006,77.627
oct2006,77.93
nov2006,77.93
dec2006,78.161
jan2007,76.904
feb2007,77.479
mar2007,77.43
apr2007,78.025
may2007,78.537
jun2007,78.384
jul2007,79.958
aug2007,80.374
sep2007,79.963
oct2007,81.095
nov2007,81.716
dec2007,81.147
jan2008,82.002
feb2008,82.558
mar2008,82.632
apr2008,83.933
may2008,84.451
jun2008,84.296
jul2008,85.216
aug2008,85.544
sep2008,85.361
oct2008,86.304
nov2008,86.245
dec2008,85.501
jan2009,85.507
feb2009,85.236
mar2009,84.751
apr2009,84.206
may2009,84.656
jun2009,84.283
jul2009,85.003
aug2009,85.307
sep2009,85.008
oct2009,85.521
nov2009,85.566
dec2009,85.05
jan2010,85.682
feb2010,86.048
mar2010,86.115
apr2010,86.901
may2010,87.402
jun2010,86.567
jul2010,87.676
aug2010,88.081
sep2010,88.129
oct2010,88.525
nov2010,88.818
dec2010,88.954
jan2011,90.405
feb2011,90.339
mar2011,90.458
apr2011,90.774
may2011,91.318
jun2011,91.103
jul2011,92.448
aug2011,93.115
sep2011,92.941
oct2011,93.322
nov2011,93.842
dec2011,93.877
jan2012,94.748
feb2012,94.491
mar2012,95.207
apr2012,95.718
may2012,95.917
jun2012,95.924
jul2012,96.146
aug2012,96.744
sep2012,97.298
oct2012,97.1
nov2012,97.225
dec2012,97.936
jan2013,98.121
feb2013,99.107
mar2013,98.574
apr2013,97.112
may2013,97.457
jun2013,97.656
jul2013,97.929
aug2013,98.718
sep2013,98.865
oct2013,99.02
nov2013,99.72
dec2013,99.404
jan2014,99.506
feb2014,99.484
mar2014,99.749
apr2014,99.342
may2014,99.676
jun2014,99.508
jul2014,99.213
aug2014,99.742
sep2014,99.553
oct2014,99.255
nov2014,99.441
dec2014,99.328
jan2014,99.506
feb2014,99.484
mar2014,99.749
apr2014,99.342
may2014,99.676
jun2014,99.508
jul2014,99.213
aug2014,99.742
sep2014,99.553
oct2014,99.255
nov2014,99.441
dec2014,99.328
jan2015,99.114
feb2015,99.211
mar2015,99.449
apr2015,98.829
may2015,99.279
jun2015,99.171
jul2015,98.818
aug2015,98.911
sep2015,98.912
oct2015,98.487
nov2015,98.684
dec2015,98.693
jan2016,98.476
feb2016,98.375
mar2016,98.416
apr2016,98.365
may2016,97.724
jun2016,98.449
jul2016,98.173
aug2016,98.657
sep2016,98.666
oct2016,98.383
nov2016,98.699
dec2016,98.854
jan2017,99.026
feb2017,99.023
mar2017,99.064
apr2017,98.762
may2017,99.098
jun2017,98.956
jul2017,98.726
aug2017,99.056
sep2017,99.036
oct2017,98.75
nov2017,99.322
dec2017,99.225
jan2018,99.035
feb2018,99.501
mar2018,99.299
apr2018,98.833
may2018,99.449
jun2018,99.505
jul2018,99.359
aug2018,99.778
sep2018,99.753
oct2018,99.447
nov2018,99.61
dec2018,99.686
jan2019,99.387
feb2019,99.953
mar2019,99.972
apr2019,99.753
may2019,100.325
jun2019,100.038
jul2019,99.587
aug2019,100.209
sep2019,100.147
oct2019,99.93
nov2019,100.254
dec2019,100.445
jan2020,100.204
feb2020,100.279
mar2020,99.933
apr2020,99.012
may2020,99.48
jun2020,99.5
jul2020,99.178
aug2020,99.807
sep2020,100.139
oct2020,99.711
nov2020,100.105
dec2020,100.469
jan2021,100.44
feb2021,101.015
mar2021,101.239
apr2021,101.07
may2021,101.883
jun2021,101.87
jul2021,101.672
aug2021,102.231
sep2021,102.657
oct2021,102.95
nov2021,103.959
dec2021,104.439
jan2022,104.472
feb2022,105.379
mar2022,106.691
apr2022,106.547
may2022,107.598
jun2022,108.671
jul2022,108.836
aug2022,109.863
sep2022,110.339
oct2022,109.893
nov2022,110.959
dec2022,111.186
jan2023,111.397
feb2023,112.019
mar2023,112.583
apr2023,112.669
may2023,113.034
jun2023,113.576
jul2023,113.309
aug2023,114.303
