Data Series,Total Residential Properties,  1-Room Residential Properties,  2-Room Residential Properties,  3-Room Residential Properties,  4-Room Residential Properties,  5-Room Residential Properties,  Executive Properties,  HUDC Properties,  Studio Apartment,Commercial/Industrial Units
2022 ,1110294,31318,67104,247819,439934,250421,65116,0,8582,18197
2021 ,1092898,30944,61692,247053,432107,247241,65115,0,8746,18199
2020 ,1079630,30918,59157,244549,426401,244595,65108,0,8902,18099
2019 ,1071126,30779,56430,243299,423280,243180,65106,0,9052,18011
2018 ,1061236,30699,53257,242456,419203,241572,65100,0,8949,18021
2017 ,1043968,30098,48261,239674,412394,239460,65090,0,8991,29813
2016 ,1010613,27817,41594,235217,398927,233608,65086,0,8364,30042
2015 ,984908,26247,38882,231212,387642,227774,65082,0,8069,28630
2014 ,959960,25450,37105,227527,375533,222345,65079,0,6921,28477
2013 ,933278,25384,35562,223461,363043,216209,65074,1177,3368,28413
2012 ,922493,25186,33744,222257,357566,214710,65077,1535,2418,28372
2011 ,914102,24207,32319,222024,353690,213096,65076,1535,2155,28469
2010 ,898532,21973,30739,222191,344596,210289,65079,1800,1865,28459
2009 ,888143,20041,29680,220696,339782,209764,65076,1865,1239,30093
2008 ,884920,20086,29559,221824,336782,208492,65073,1865,1239,30009
2007 ,883448,20161,28796,222693,335355,208270,65069,1865,1239,30118
2006 ,878820,20145,28715,222474,331486,207944,65148,1865,1043,30227
2005 ,877546,20143,29351,223309,329141,207633,65151,1865,953,29855
2004 ,876985,20142,29351,227125,325794,206614,65158,1865,936,30233
2003 ,874183,20321,29836,228600,323390,204082,65153,1865,936,30399
2002 ,866071,20522,30568,229505,318478,199298,64899,1865,936,29698
2001 ,863552,21812,31514,233153,314610,194032,64487,3008,936,31018
2000 ,846649,23623,33741,234997,306001,181498,63439,3350,na,31353
