Data Series,  1 Person,  2 Persons,  3 Persons,  4 Persons,  5 Persons,  6 Or More Persons
2022 ,34200,73800,90500,87000,41800,23900
2021 ,31000,73700,79600,85700,51000,28300
2020 ,33200,68100,76600,85300,49900,33900
2019 ,31600,75600,78100,90600,48300,27100
2018 ,27200,68500,76400,89600,51100,31500
2017 ,23400,64000,76800,86100,49900,32300
2016 ,21400,60700,71100,91200,50300,30700
2015 ,19800,57900,68100,90100,49100,31500
2014 ,18500,57100,68500,90200,52000,31100
2013 ,16900,51700,64600,91500,51400,32100
2012 ,14100,52900,67800,90400,52500,34100
2011 ,15000,49400,64000,89700,52200,31900
