Data Series,  1 Person,  2 Persons,  3 Persons,  4 Persons,  5 Persons,  6 Or More Persons
2022 ,58300,68600,53200,25800,11800,4300
2021 ,59600,71600,49600,27300,12200,5000
2020 ,59000,66400,46700,29000,12800,7300
2019 ,56800,68600,47600,28600,11000,5700
2018 ,52600,62700,45100,32000,11400,6700
2017 ,47800,60300,46000,29200,13400,6400
2016 ,46000,59500,43800,32700,12700,7600
2015 ,42400,53200,42600,30800,13500,7300
2014 ,42400,52200,41600,28500,13400,7000
2013 ,38900,51200,41600,30800,13300,6400
2012 ,36900,48900,41400,31100,13200,7300
2011 ,39900,54500,43300,34300,13500,7200
