Data Series,  1 Person,  2 Persons,  3 Persons,  4 Persons,  5 Persons,  6 Or More Persons
2022 ,215200,329700,328300,287100,146700,86700
2021 ,215200,330200,296700,278500,160700,104200
2020 ,218000,308300,279700,275200,163100,122700
2019 ,206900,333600,285700,283100,154700,104600
2018 ,183700,305000,276200,283600,160300,111100
2017 ,166800,288000,275900,277500,161100,115900
2016 ,155000,274700,265600,285800,160700,117000
2015 ,144400,258200,255000,281000,163400,117300
2014 ,133800,251100,250400,279400,162500,117900
2013 ,122500,232900,242600,289700,164600,115000
2012 ,107800,229000,236300,278500,168600,120400
2011 ,112000,226500,236100,278100,168700,116900
