Data Series,  1 Person,  2 Persons,  3 Persons,  4 Persons,  5 Persons,  6 Or More Persons
2022 ,55300,42800,21400,8600,3500,2700
2021 ,56600,45000,17900,9600,4600,2700
2020 ,54300,41100,18500,9600,4600,3400
2019 ,52900,37700,18000,8900,4500,2400
2018 ,48000,40900,17600,8700,4000,2600
2017 ,41900,36600,18800,9200,3800,3700
2016 ,39700,36200,16300,10000,4300,2800
2015 ,36000,34300,16900,9400,4700,3300
2014 ,30300,30800,15500,9100,4900,3500
2013 ,26100,30700,17000,11100,4600,3500
2012 ,23500,28100,15100,10900,4600,2800
2011 ,25300,27500,14800,9500,4100,2800
