month,Inflation
2000-01,0.00913
2000-02,0.01268
2000-03,0.01226
2000-04,0.01111
2000-05,0.00516
2000-06,0.0078
2000-07,0.01156
2000-08,0.01624
2000-09,0.01687
2000-10,0.01841
2000-11,0.01991
2000-12,0.02063
2001-01,0.01989
2001-02,0.01314
2001-03,0.01844
2001-04,0.01976
2001-05,0.01934
2001-06,0.01209
2001-07,0.01297
2001-08,0.00709
2001-09,0.00546
2001-10,0.00215
2001-11,-0.00216
2001-12,-0.00588
2002-01,-0.01099
2002-02,-0.00619
2002-03,-0.00889
2002-04,-0.01054
2002-05,-0.00345
2002-06,0.00142
2002-07,-0.00425
2002-08,-0.00437
2002-09,-0.00423
2002-10,-0.002
2002-11,0.00234
2002-12,0.00436
2003-01,0.00873
2003-02,0.00392
2003-03,0.00767
2003-04,0.00863
2003-05,-0.00088
2003-06,-0.00324
2003-07,0.00268
2003-08,0.00456
2003-09,0.00688
2003-10,0.00648
2003-11,0.00561
2003-12,0.00745
2004-01,0.00673
2004-02,0.02019
2004-03,0.00988
2004-04,0.01463
2004-05,0.02355
2004-06,0.01859
2004-07,0.02039
2004-08,0.01789
2004-09,0.01889
2004-10,0.01922
2004-11,0.01755
2004-12,0.01311
2005-01,0.00392
2005-02,-0.00021
2005-03,0.00423
2005-04,0.00364
2005-05,-0.00035
2005-06,-0.00167
2005-07,0.00077
2005-08,0.0068
2005-09,0.00616
2005-10,0.01063
2005-11,0.00967
2005-12,0.0126
2006-01,0.01732
2006-02,0.01191
2006-03,0.01151
2006-04,0.0108
2006-05,0.0109
2006-06,0.0138
2006-07,0.01086
2006-08,0.00666
2006-09,0.00437
2006-10,0.0042
2006-11,0.00543
2006-12,0.00809
2007-01,-0.00583
2007-02,-0.00039
2007-03,0.0023
2007-04,0.00453
2007-05,0.01265
2007-06,0.01706
2007-07,0.02971
2007-08,0.03449
2007-09,0.03009
2007-10,0.04061
2007-11,0.04858
2007-12,0.0382
2008-01,0.06629
2008-02,0.06555
2008-03,0.06718
2008-04,0.07572
2008-05,0.0753
2008-06,0.07542
2008-07,0.06576
2008-08,0.06432
2008-09,0.06751
2008-10,0.06423
2008-11,0.05542
2008-12,0.05366
2009-01,0.04274
2009-02,0.03244
2009-03,0.02564
2009-04,0.00325
2009-05,0.00243
2009-06,-0.00015
2009-07,-0.0025
2009-08,-0.00277
2009-09,-0.00414
2009-10,-0.00907
2009-11,-0.00787
2009-12,-0.00527
2010-01,0.00205
2010-02,0.00953
2010-03,0.01609
